Brand of Car,Model of car,Year of Car,Price sold (or unsold),Country  of auction,Currency,Year of Auction
Porsche,911 Carrera 4S,2003,"£21,200",UK,"£21,200",2022
Porsche,911 Carrera 4S,2003,"Estimate £25,000 - £30,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera 4 Convertible,2000,"£11,340",UK,"£11,340",2022
Porsche,911 Carrera S,2013,Estimate - Not Given (unsold),UK,Estimate,2022
Porsche,911 Carrera 4S Cabriolet,2005,"£18,537",UK,"£18,537",2022
Porsche,911,2003,"£12,720",UK,"£12,720",2022
Porsche,911 Carrera,2002,"£12,880",UK,"£12,880",2022
Porsche,911 Carrera S,2006,"$66,000",USA,"$66,000",2022
Porsche,911 3.6 Carrera 2,2010,"£32,625",UK,"£32,625",2022
Porsche,911 C4S Targa,2007,"£39,937",UK,"£39,937",2022
Porsche,911 Carrera 4,2002,"Estimate £20,000 - £22,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera 4S Cabriolet,2004,"£33,600",UK,"£33,600",2022
Porsche,911 Carrera 2S,2002,"Estimate £19,000 - £26,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera 2 Cabriolet,2004,"Estimate £15,000 - £17,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera 4S,2002,"$72,800",USA,"$72,800",2022
Porsche,911 Carrera S,2008,"$117,600",USA,"$117,600",2022
Porsche,911 Carrera 40th Anniversary Edition,2004,"$78,400",USA,"$78,400",2022
Porsche,911 Carrera S,2021,"Estimate £125,000 - £150,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera 4,2002,"£18,208",UK,"£18,208",2022
Porsche,911 Carrera 4S,2002,"Estimate £19,000 - £21,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera 2,2002,"£13,115",UK,"£13,115",2022
Porsche,911 Carrera 4,2002,"Estimate £20,000 - £24,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera 2,2008,"Estimate £25,750 - £26,750 (unsold)",UK,Estimate,2022
Porsche,911 Carrera 3.8 S Cabriolet,2014,"£42,120",UK,"£42,120",2022
Porsche,911 3.6 Carrera 4S,2003,"£20,790",UK,"£20,790",2022
Porsche,911 Carrera 4S,2008,"$55,000",USA,"$55,000",2022
Porsche,911 Carrera,2001,"£21,414",UK,"£21,414",2022
Porsche,911 Carrera Cabriolet,2002,"Estimate £17,000 - £20,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera Cabriolet,2001,"NZ$34,500",Zealand,"NZ$34,500",2021
Porsche,911 Targa,2002,"£14,833",UK,"£14,833",2021
Porsche,911 Carrera 2,2008,"Estimate £27,500 - £29,500 (unsold)",UK,Estimate,2021
Porsche,911 Carrera 4S,2004,"Estimate £20,000 - £25,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera 4S,2007,"£29,960",UK,"£29,960",2021
Porsche,911 Carrera 4,2002,"Estimate £18,000 - £22,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera,2001,"£25,872",UK,"£25,872",2021
Porsche,911 Carrera 4S,2007,"£31,920",UK,"£31,920",2021
Porsche,911 Carrera 4S,2003,"Estimate £16,000 - £18,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera 2S,2009,"Estimate £55,000 - £60,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera 2S,2005,"£21,600",UK,"£21,600",2021
Porsche,911 Carrera 2,2002,"£34,875",UK,"£34,875",2021
Porsche,911 Carrera 2,2004,"£17,920",UK,"£17,920",2021
Porsche,911 Carrera 4,2002,"Estimate £18,000 - £22,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera 4,2003,"£19,600",UK,"£19,600",2021
Porsche,911 Carrera 4S,2002,"£21,200",UK,"£21,200",2021
Porsche,911 3.8 Carrera GTS,2011,"€77,500",France,"€77,500",2021
Porsche,911 Carrera 4,2001,"$34,100",USA,"$34,100",2021
Porsche,911 Carrera 2,2002,"£20,535",UK,"£20,535",2021
Porsche,911 Carrera 2 Cabriolet,2003,"£17,760",UK,"£17,760",2021
Porsche,911 Targa,2002,"Estimate £15,000 - £19,000 (unsold)",UK,Estimate,2021
Porsche,911 3.6 Carrera 4,2003,"£9,990",UK,"£9,990",2021
Porsche,911 Carrera Targa,2002,"$26,400",USA,"$26,400",2021
Porsche,911 Carrera 4S,2007,"$46,200",USA,"$46,200",2021
Porsche,911 Targa,2003,"£14,500",UK,"£14,500",2021
Porsche,911,2001,Estimate - Not Given (unsold),USA,Estimate,2021
Porsche,911 Carrera 4S,2003,"Estimate £17,000 - £19,000 (unsold)",UK,Estimate,2021
Porsche,911 C4S,2007,"£36,040",UK,"£36,040",2021
Porsche,911 Carrera 4S,2002,"£25,437",UK,"£25,437",2021
Porsche,911 Carrera 4,2002,"£14,792",UK,"£14,792",2021
Porsche,911 Carrera 4,2008,Estimate - Not Given (unsold),USA,Estimate,2021
Porsche,911 Carrera 4,2001,"£15,904",UK,"£15,904",2021
Porsche,911 3.8 Martini Racing Edition,2014,"£92,250",UK,"£92,250",2021
Porsche,911,2008,"$105,600",USA,"$105,600",2021
Porsche,911 Carrera 4 S Cabriolet,2006,"£25,440",UK,"£25,440",2021
Porsche,911 Carrera 4,2005,"£24,380",UK,"£24,380",2021
Porsche,911 Carrera 4 Cabriolet,2003,"£15,900",UK,"£15,900",2021
Porsche,911 Targa 4S,2009,"£47,700",UK,"£47,700",2021
Porsche,911,2001,"Estimate £28,000 - £30,000 (unsold)",UK,Estimate,2021
